Asset Name,OS,huntress,microsoft-ad,sentinelone
jma-ssi69,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
jma-ssi70,b'Windows 10 Business 19044',huntress,microsoft-ad,sentinelone
jma-ssi72,b'Windows 10 Business 19044',huntress,microsoft-ad,sentinelone
jma-susancw10,b'Windows 10 Business 19045',huntress,microsoft-ad,sentinelone
jma-susanhw10,b'Windows 10 Business 19045',huntress,microsoft-ad,sentinelone
jma-w10vd39,b'Windows 10 Business 19045',huntress,microsoft-ad,sentinelone
jma-w10vd40,b'Windows 10 Business 19044',huntress,microsoft-ad,sentinelone
jma-w7-ccanan,b'Windows 7 Professional  7601 SP1',huntress,microsoft-ad,sentinelone
jmaadc02,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmadcx01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmadcx03,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmaenc01,b'Windows Server 2019 Standard 17763', , ,sentinelone
jmafil02,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmait02,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmalic01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmanet01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmaqb01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
jmassi01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
win10-exchange,b'Windows 10 Business 19044',huntress,microsoft-ad,sentinelone
win10-solis,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
