Asset Name,OS,huntress,microsoft-ad,sentinelone
115-wellnesdsk,b'Windows 10 Pro 19045',huntress, ,sentinelone
115-wellnessadm,b'Windows 10 Pro 19045',huntress, ,sentinelone
116-wellness01,b'Windows 10 Pro 19044',huntress, ,sentinelone
117-fitness,b'Windows 10 Pro 19044',huntress, ,sentinelone
118-mktdirector,b'Windows 11 Pro 22621',huntress, ,sentinelone
120-tjcclrk00,b'Windows 10 Pro 19045',huntress, ,sentinelone
121-physician,b'Windows 10 Pro 19045',huntress, ,sentinelone
122-finbilling,b'Windows 11 Pro 22621',huntress, ,sentinelone
122-hcbilling,b'Windows 10 Pro 19045',huntress, ,sentinelone
123-meddirector,b'Windows 10 Pro',huntress, , 
124-jcadon,b'Windows 10 Pro',huntress, , 
125-hhlaptop1,b'Windows 10 Pro',huntress, , 
126-hhlaptop-2,b'Windows 11 Pro 22621',huntress, ,sentinelone
127-mdsdir,b'Windows 10 Pro 19045',huntress, ,sentinelone
128-rehab01,b'Windows 10 Pro 19044',huntress, ,sentinelone
129-wfcrcpton,b'Windows 10 Pro 19044',huntress, ,sentinelone
130-renovmanager,b'Windows 10 Pro 19045',huntress, ,sentinelone
131-tjcnursing,b'Windows 11 Pro 22621',huntress, ,sentinelone
132-tjcnumgr,b'Windows 10 Pro 19045',huntress, ,sentinelone
133-tjcsocsvc,b'Windows 10 Pro 19045',huntress, ,sentinelone
135-ressvcact02,b'Windows 11 Pro 22621',huntress, ,sentinelone
136-frtdskrec,b'Windows 11 Pro 22621',huntress, ,sentinelone
136-reception,b'Windows 10 Pro 19044',huntress, ,sentinelone
137-flchaplain,b'Windows 10 Pro 19044',huntress, ,sentinelone
138-hhadmin,b'Windows 10 Pro 19044',huntress, ,sentinelone
140-surveyor1,b'Windows 11 Pro 22621',huntress, ,sentinelone
144-wellexam2,b'Windows 10 Pro 19044',huntress, ,sentinelone
145-facdirector,b'Windows 10 Pro 19045',huntress, ,sentinelone
146-maintadmin,b'Windows 10 Pro 19044',huntress, ,sentinelone
147-rehab,b'Windows 10 Pro 19044',huntress, ,sentinelone
149-wfactivities,b'Windows 10 Pro 19044',huntress, ,sentinelone
156-wfcadmin,b'Windows 10 Pro 19044',huntress, ,sentinelone
158-fin-payclrk,b'Windows 10 Pro 19045',huntress, ,sentinelone
162-tjcactmgr,b'Windows 10 Pro 19044',huntress, ,sentinelone
163-mktsales,b'Windows 10 Pro 19045',huntress, ,sentinelone
166-mktadm,b'Windows 10 Pro 19044',huntress, ,sentinelone
170-clstudio,b'Windows 11 Pro 22621',huntress, ,sentinelone
176-pos1dinning,b'Windows 10 Pro',huntress, , 
177-pos2dinning,b'Windows 10 Pro 19044',huntress, ,sentinelone
178-pos3dining,b'Windows 10 Pro 19044',huntress, ,sentinelone
179-pos4dinning,b'Windows 10 Pro 19044',huntress, ,sentinelone
180-pos5dinning,b'Windows 10 Pro 19044',huntress, ,sentinelone
184-pos9dinning,b'Windows 10 Pro 19044',huntress, ,sentinelone
187-dinreservations,b'Windows 10 Pro 19045',huntress, ,sentinelone
190-bakery,b'Windows 11 Pro 22621',huntress, ,sentinelone
192-wfckiosk2,b'Windows 10 Pro 19044',huntress, ,sentinelone
193-wfcpos,b'Windows 10 Pro 19044',huntress, ,sentinelone
214-fgsec,b'Windows 11 Pro 22621',huntress, ,sentinelone
